"deeply","appropriate"
"listen","two"
"cup","aid"
"sheet","found"
"cattle","reason"
"young","sometime"
"play","mine"
"lead","usual"
"courage","door"
"previous","silly"
"string","couple"
"what","my"
"fourth","signal"
"correct","express"
"available","member"
"mouse","game"
"current","deal"
"struck","sit"
"experiment","left"
"escape","under"
"type","lips"
"from","silk"
"pattern","younger"
"rather","held"
"ride","you"
"ride","coal"
"worry","spin"
"lying","root"
"age","pass"
"gold","equal"
"lion","ourselves"
"deer","value"
"exist","strange"
"observe","rhyme"
"word","lamp"
"possible","cut"
"palace","coming"
"vowel","numeral"
"peace","cost"
"direct","at"
"porch","should"
"everywhere","does"
"soft","production"
"tonight","fun"
"western","rich"
"outline","nobody"
"sit","reach"
"select","page"
"failed","particularly"
"city","hunt"
